,time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°)
40565,2020-08-17T05:00,19.8,0.0,0.0,6.0,1.0,9.0,0.0,10.4,360.0
23361,2018-08-31T09:00,23.5,0.6,0.6,100.0,100.0,35.0,97.0,15.3,63.0
45458,2021-03-09T02:00,2.4,0.0,0.0,22.0,0.0,9.0,56.0,9.9,213.0
3901,2016-06-11T13:00,18.7,0.0,0.0,72.0,22.0,38.0,97.0,9.4,182.0
40186,2020-08-01T10:00,23.3,0.0,0.0,1.0,0.0,0.0,3.0,9.0,355.0
55914,2022-05-18T18:00,19.7,0.0,0.0,27.0,1.0,0.0,87.0,7.9,164.0
52119,2021-12-11T15:00,11.5,1.5,1.5,100.0,100.0,52.0,100.0,16.6,207.0
28092,2019-03-16T12:00,7.3,0.0,0.0,0.0,0.0,0.0,0.0,16.9,272.0
16657,2017-11-25T01:00,6.5,0.0,0.0,0.0,0.0,0.0,0.0,9.3,208.0
14494,2017-08-26T22:00,23.8,0.0,0.0,6.0,0.0,10.0,0.0,1.1,18.0
41892,2020-10-11T12:00,16.8,0.0,0.0,61.0,16.0,30.0,94.0,11.3,7.0
36950,2020-03-19T14:00,6.5,0.0,0.0,100.0,100.0,53.0,0.0,14.8,29.0
29078,2019-04-26T14:00,13.8,0.3,0.3,100.0,100.0,91.0,100.0,20.5,92.0
25459,2018-11-26T19:00,10.6,1.1,1.1,100.0,27.0,96.0,61.0,19.4,105.0
22004,2018-07-05T20:00,30.6,0.0,0.0,35.0,20.0,29.0,0.0,14.1,195.0
50220,2021-09-23T12:00,24.1,0.0,0.0,51.0,7.0,41.0,67.0,19.5,142.0
29998,2019-06-03T22:00,21.2,0.0,0.0,1.0,0.0,1.0,0.0,18.0,303.0
4739,2016-07-16T11:00,24.6,0.0,0.0,24.0,0.0,20.0,39.0,6.5,357.0
20595,2018-05-08T03:00,14.1,0.0,0.0,3.0,1.0,3.0,0.0,4.8,153.0
45583,2021-03-14T07:00,4.8,0.0,0.0,2.0,1.0,1.0,0.0,14.8,276.0
40184,2020-08-01T08:00,23.4,0.0,0.0,0.0,0.0,0.0,0.0,6.2,324.0
49898,2021-09-10T02:00,20.5,0.0,0.0,66.0,1.0,86.0,46.0,10.5,292.0
12609,2017-06-09T09:00,12.2,0.0,0.0,12.0,0.0,19.0,1.0,6.8,270.0
9366,2017-01-25T06:00,2.8,0.0,0.0,29.0,3.0,35.0,19.0,22.0,305.0
7155,2016-10-25T03:00,10.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,305.0
47452,2021-05-31T04:00,10.1,0.0,0.0,100.0,100.0,44.0,61.0,14.8,1.0
49897,2021-09-10T01:00,20.6,0.0,0.0,65.0,2.0,70.0,69.0,7.2,288.0
47514,2021-06-02T18:00,22.6,0.0,0.0,65.0,15.0,39.0,93.0,12.7,165.0
41173,2020-09-11T13:00,22.8,0.0,0.0,30.0,25.0,12.0,2.0,14.6,9.0
15818,2017-10-21T02:00,15.9,0.0,0.0,2.0,0.0,0.0,8.0,9.7,312.0
30098,2019-06-08T02:00,20.1,0.0,0.0,34.0,4.0,0.0,100.0,5.4,172.0
