,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
452898,03/31/2019,14:15,,,,,,NASSAU EXPRESSWAY               ,,,0.0,0.0,0,0,0,0,0,0,Brakes Defective,Unspecified,,,,4106720,Station Wagon/Sport Utility Vehicle,Sedan,,,
1831808,12/20/2012,19:00,BROOKLYN,11228,40.6114054,-74.009512,"(40.6114054, -74.009512)",86 STREET                       ,15 AVENUE                       ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,122612,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
438919,05/01/2019,11:45,QUEENS,11372.0,40.74928,-73.88884,"(40.74928, -73.88884)",,,77-07     37 AVENUE                     ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4127994,Sedan,Station Wagon/Sport Utility Vehicle,,,
483724,02/16/2019,16:30,,,,,,CLEARVIEW EXPRESSWAY            ,,,0.0,0.0,0,0,0,0,0,0,Glare,Unspecified,,,,4081723,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
878916,05/29/2017,19:00,,,,,,MAIN STREET                     ,HORACE HARDING EXPRESSWAY,,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3680356,Sedan,Station Wagon/Sport Utility Vehicle,,,
1038196,08/28/2016,1:00,QUEENS,11004.0,40.73675,-73.71104,"(40.73675, -73.71104)",HILLSIDE AVENUE                 ,257 STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3521571,Sedan,Sedan,,,
1653595,11/07/2013,17:17,MANHATTAN,10024,40.7843547,-73.9811649,"(40.7843547, -73.9811649)",WEST 79 STREET                  ,WEST END AVENUE                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,54784,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1071411,07/01/2016,20:25,MANHATTAN,10036.0,40.759483,-73.98914,"(40.759483, -73.98914)",,,317       WEST 45 STREET                ,1.0,0.0,1,0,0,0,0,0,Unspecified,,,,,3476081,Carry All,,,,
141102,08/06/2022,13:55,QUEENS,11691.0,40.60724,-73.75301,"(40.60724, -73.75301)",,,14-78     REDFERN AVENUE,1.0,0.0,0,0,1,0,0,0,Turning Improperly,Unspecified,,,,4553340,Taxi,Bike,,,
971221,12/02/2016,10:42,,,40.61415,-73.97291,"(40.61415, -73.97291)",AVENUE N                        ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3572177,Station Wagon/Sport Utility Vehicle,,,,
